,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
105,2018-05-28 21:00:00-05:00,90807,1.16239,1.16397,1.151,1.15386,1.16211,1.16391,1.15092,1.1536,1.16267,1.16404,1.15106,1.15413
106,2018-05-29 21:00:00-05:00,92402,1.15386,1.16766,1.15184,1.16642,1.1536,1.16757,1.15176,1.16618,1.15413,1.16774,1.15191,1.16666
107,2018-05-30 21:00:00-05:00,83092,1.16642,1.17244,1.1641,1.16941,1.16618,1.17238,1.16401,1.16911,1.16666,1.17261,1.16417,1.16971
108,2018-05-31 21:00:00-05:00,81158,1.16941,1.17182,1.16174,1.16591,1.16911,1.17175,1.16166,1.16561,1.16971,1.1719,1.16181,1.16621
109,2018-06-03 21:00:00-05:00,54201,1.16591,1.17446,1.16591,1.16986,1.16561,1.1744,1.16561,1.16956,1.16621,1.17452,1.1662,1.17015
110,2018-06-04 21:00:00-05:00,60668,1.16986,1.17324,1.16525,1.17184,1.16956,1.17317,1.16519,1.17158,1.17015,1.1733,1.16531,1.17211
111,2018-06-05 21:00:00-05:00,57923,1.17184,1.17959,1.17124,1.17744,1.17158,1.17953,1.17099,1.17715,1.17211,1.17965,1.17142,1.17772
112,2018-06-06 21:00:00-05:00,62212,1.17744,1.18399,1.17727,1.1799,1.17715,1.18392,1.17705,1.1796,1.17772,1.18406,1.17738,1.1802
113,2018-06-07 21:00:00-05:00,57780,1.1799,1.18104,1.1727,1.1769,1.1796,1.18098,1.17263,1.1766,1.1802,1.18112,1.17278,1.1772
114,2018-06-10 21:00:00-05:00,43072,1.1769,1.18204,1.1769,1.17845,1.1766,1.18197,1.1766,1.17818,1.1772,1.1821,1.17717,1.17872
115,2018-06-11 21:00:00-05:00,56915,1.17845,1.18089,1.17332,1.17436,1.17818,1.18083,1.17324,1.17408,1.17872,1.18096,1.1734,1.17464
116,2018-06-12 21:00:00-05:00,63126,1.17436,1.18011,1.17254,1.1793,1.17408,1.18004,1.17243,1.17901,1.17464,1.18018,1.17266,1.17959
117,2018-06-13 21:00:00-05:00,89311,1.1793,1.18518,1.15627,1.15677,1.17901,1.185,1.15611,1.15647,1.17959,1.18536,1.15642,1.15707
118,2018-06-14 21:00:00-05:00,69625,1.15677,1.16272,1.15431,1.16089,1.15647,1.16265,1.15423,1.16059,1.15707,1.16278,1.15439,1.16119
119,2018-06-17 21:00:00-05:00,43908,1.16089,1.16246,1.15654,1.16232,1.16059,1.16239,1.15648,1.16206,1.16119,1.16265,1.15661,1.16258
120,2018-06-18 21:00:00-05:00,75009,1.16232,1.16446,1.1531,1.15916,1.16206,1.16439,1.15303,1.15889,1.16258,1.16454,1.15316,1.15944
121,2018-06-19 21:00:00-05:00,60759,1.15916,1.16003,1.15356,1.15761,1.15889,1.15996,1.15321,1.15737,1.15944,1.1601,1.15378,1.15785
122,2018-06-20 21:00:00-05:00,84865,1.15761,1.16338,1.1508,1.16028,1.15737,1.16331,1.1507,1.16004,1.15785,1.16345,1.15089,1.16053
123,2018-06-21 21:00:00-05:00,76671,1.16028,1.16754,1.16004,1.16574,1.16004,1.16747,1.15977,1.16544,1.16053,1.16761,1.16014,1.16604
124,2018-06-24 21:00:00-05:00,65830,1.16574,1.17134,1.16284,1.17037,1.16544,1.17127,1.16277,1.17007,1.16604,1.17141,1.16292,1.17067
125,2018-06-25 21:00:00-05:00,71193,1.17037,1.17212,1.16348,1.16465,1.17007,1.172,1.16341,1.16435,1.17067,1.17224,1.16356,1.16495
126,2018-06-26 21:00:00-05:00,75596,1.16465,1.1672,1.15403,1.15542,1.16435,1.16714,1.15396,1.15517,1.16495,1.16727,1.1541,1.15568
127,2018-06-27 21:00:00-05:00,80665,1.15542,1.1601,1.15272,1.1569,1.15517,1.16002,1.15265,1.15663,1.15568,1.16018,1.15278,1.15717
128,2018-06-28 21:00:00-05:00,99816,1.1569,1.16904,1.15584,1.16847,1.15663,1.16897,1.15575,1.16817,1.15717,1.16913,1.15593,1.16877
129,2018-07-01 21:00:00-05:00,56859,1.16847,1.16918,1.15914,1.16392,1.16817,1.16892,1.15907,1.16365,1.16877,1.16948,1.1592,1.1642
